Money,Earnings,Rise or fall between days,Rise or fall between weeks
881.3210877,-118.6789123,-8.155879,-54.0929285
873.1652087,-126.8347913,-8.0065723,-53.1012614
865.1586364,-134.8413636,-7.8613281,81.065767
857.2973083,-142.7026917,-7.7200008,219.2429937
849.5773075,-150.4226925,-7.5824506,217.8438845
841.9948569,-158.0051431,-7.448544,216.4601671
834.5463129,-165.4536871,-7.3181537,215.0916681
827.2281592,-172.7718408,-7.1642119,213.7382148
820.0639473,-179.9360527,126.1604561,212.3726857
946.2244034,-53.7755966,130.3158986,77.8500206
1076.540302,76.540302,-9.11911,-60.722367
1067.421192,67.421192,-8.966168,-59.727906
1058.455024,58.455024,-8.817043,-58.75768
1049.637981,49.637981,-8.671607,-57.8109056
1040.966374,40.966374,-8.529741,-56.886834
1032.436633,32.436633,-8.362209,-55.9847437
1024.074424,24.074424,-8.256489,-55.1330621
1015.817935,15.817935,-8.124649,-54.2453126
1007.693286,7.693286,-7.995942,-53.3779665
999.697344,-0.302656,-7.8702686,-14.9308394
991.8270754,-8.1729246,-7.7475354,-14.4095176
984.07954,-15.92046,-7.6276507,-13.9022568
976.4518893,-23.5481107,-7.5105274,-13.4086014
968.9413619,-31.0586381,-7.3687395,-12.9281129
961.5726224,-38.4273776,-7.2573029,-12.4877119
954.3153195,-45.6846805,30.4511851,-12.032961
984.7665046,-15.2334954,-7.3489468,-49.1896919
977.4175578,-22.5824422,-7.2402746,-48.451345
970.1772832,-29.8227168,-7.1339953,-47.7544503
963.0432879,-36.9567121,-7.0300389,-47.0724787
956.013249,-43.986751,-6.9283385,-46.4050073
949.0849105,-50.9150895,-6.802552,-45.7516276
942.2823585,-57.7176415,-6.7055458,-45.138223
935.5768127,-64.4231873,-6.6105999,-44.5129123
928.9662128,-71.0337872,-6.5433799,28.3662584
922.4228329,-77.5771671,-6.4520237,182.1211991
915.9708092,-84.0291908,-6.3625675,181.2081988
909.6082417,-90.3917583,-6.2749588,180.3031323
903.3332829,-96.6667171,-6.1891474,179.4059261
897.1441355,-102.8558645,-6.0802351,178.5165105
891.0639004,-108.9360996,66.2685708,177.6365506
957.3324712,-42.6675288,147.2115608,104.4974498
1104.544032,104.544032,-7.365024,-21.037312
1097.179008,97.179008,-7.267634,-20.575849
1089.911374,89.911374,-7.172165,-20.124526
1082.739209,82.739209,-7.078563,-19.683068
1075.660646,75.660646,-6.960195,-19.251209
1068.700451,68.700451,-6.87053,-18.855278
1061.829921,61.829921,21.676799,-18.44248
1083.50672,83.50672,-6.903561,-46.523356
1076.603159,76.603159,-6.816311,-45.945892
1069.786848,69.786848,-6.730707,-45.379114
1063.056141,63.056141,-6.646704,-44.822758
1056.409437,56.409437,-6.564264,-44.276571
1049.845173,49.845173,-6.457732,-43.740306
1043.387441,43.387441,-6.404077,-43.239342
1036.983364,36.983364,-6.326097,-42.7220557
1030.657267,30.657267,-6.249533,48.977205
1024.407734,24.407734,-6.174351,48.946296
1018.233383,18.233383,-6.100517,48.912706
1012.132866,12.132866,-6.027999,48.876535
1006.104867,6.104867,-5.956768,48.83788
1000.148099,0.148099,-5.8867907,48.796836
994.2613083,-5.7386917,85.3731637,48.7779947
1079.634472,79.634472,-6.280442,-42.458905
1073.35403,73.35403,-6.207941,-41.976774
1067.146089,67.146089,-6.136688,-41.502808
1061.009401,61.009401,-6.066654,-41.036823
1054.942747,54.942747,-5.997812,-40.578642
1048.944935,48.944935,-5.905632,-40.128092
1043.039303,43.039303,-5.863736,-39.709507
1037.175567,37.175567,-5.798311,-39.250134
1031.377256,31.377256,-5.733975,-38.7981521
1025.643281,25.643281,-5.670703,-38.3765976
1019.972578,19.972578,-5.608473,-37.9618749
1014.364105,14.364105,-5.547262,-37.5538369
1008.816843,8.816843,-5.487047,-37.1523402
1003.329796,3.329796,-5.404363,-36.7572466
997.925433,-2.074567,-5.3463291,-36.3918647
992.5791039,-7.4208961,-5.3124205,-36.0098927
987.2666834,-12.7333166,-5.2559803,55.0120166
982.0107031,-17.9892969,-5.200435,434.6321789
976.8102681,-23.1897319,-5.1457653,432.6005159
971.6645028,-28.3354972,-5.0919534,430.5875122
966.5725494,-33.4274506,-5.0389811,428.5929166
961.5335683,-38.4664317,-4.9643571,426.6431447
956.5692112,-43.4307888,85.7094888,424.6885478
1042.2787,42.2787,374.364182,332.102468
1416.642882,416.642882,-7.232098,-49.070305
1409.410784,409.410784,-7.158769,-48.5798
1402.252015,402.252015,-7.086549,-48.096612
1395.165466,395.165466,-6.988753,-47.620594
1388.176713,388.176713,-6.918954,-47.152513
1381.257759,381.257759,-6.876591,-10.28573
1374.381168,374.381168,-6.808591,123.32727
1367.572577,367.572577,-6.741593,122.964873
1360.830984,360.830984,-6.675581,122.603692
1354.155403,354.155403,-6.610531,122.243745
1347.544872,347.544872,-6.520672,121.885042
1341.0242,341.0242,29.947829,121.528297
1370.972029,370.972029,126.736409,84.767251
1497.708438,497.708438,-7.170988,-48.745279
1490.53745,490.53745,-7.102774,-48.287742
1483.434676,483.434676,-7.035528,-47.836616
1476.399148,476.399148,-6.969234,-47.39178
1469.429914,469.429914,-6.877417,-46.953119
1462.552497,462.552497,-6.813217,-46.546973
